name,company,technology,job,location,salary
Data Engineer Hive Spark Scala,JSS Associates,"Data, spark, scala, hadoop",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '21000', 'high': '25200', 'currency': 'PLN'}"
"Data Engineer with Spark, Hive and Hadoop",JSS Associates,"Data, spark, hive, hadoop",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '27300', 'high': '33600', 'currency': 'PLN'}"
Data Engineer,Mindbox S.A.,"Data, python, data modeling, data engineering",data engineer,"{'city': 'Krak贸w', 'country': 'N/A', 'remotely': False}","{'low': '27300', 'high': '35700', 'currency': 'PLN'}"
Medior/Senior Data Engineer Scala,NIX Tech Kft.,"Data, scala, sql, data engineering",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '11107', 'high': '21103', 'currency': 'PLN'}"
Data Engineer,VirtusLab,"Data, python, sql, data modeling",data engineer,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '26000', 'high': '31000', 'currency': 'PLN'}"
Senior Data Engineer with Python,Objectivity - part of Accenture,"Data, databricks, python, pyspark",data engineer,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '21840', 'high': '30240', 'currency': 'PLN'}"
"Software Engineer (Java, Big Data Team) - Data&AI",Allegro,"Data, java, clean code, tdd",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '12300', 'high': '17600', 'currency': 'PLN'}"
Big Data Engineer,Reply Polska,"Data, spark, kubernetes, docker",data engineer,"{'city': 'Katowice', 'country': 'N/A', 'remotely': False}","{'low': '9000', 'high': '16000', 'currency': 'PLN'}"
Data Platform Engineer/Consultant,Elitmind,"Business Intelligence, english, sql, etl",data engineer,"{'city': 'Zdalnie   \xa0+4', 'country': 'N/A', 'remotely': True}","{'low': '13944', 'high': '19992', 'currency': 'PLN'}"
Senior Data Engineer,Adaptiq,"Data, python, spark, kafka",data engineer,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '26062', 'high': '28067', 'currency': 'PLN'}"
ETL/ Data Engineer,Sofomo,"Data, sql, etl, powerbi",data engineer,"{'city': 'Zdalnie   \xa0+6', 'country': 'N/A', 'remotely': True}","{'low': '11000', 'high': '15000', 'currency': 'PLN'}"
Senior Data Engineer,hubQuest,"Data, python, sql, etl",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '30000', 'high': '40000', 'currency': 'PLN'}"
Data Engineer,Fizet茅si Pont Kft.,"Data, python, data pipelines, azure data",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '14439', 'high': '17771', 'currency': 'PLN'}"
Senior Data Engineer,Link Group,"Data, sql, python, airflow",data engineer,"{'city': 'Krak贸w', 'country': 'N/A', 'remotely': False}","{'low': '24000', 'high': '28000', 'currency': 'PLN'}"
Middle Data Engineer (Support team),N-iX,"Data, python, sql, spark",data engineer,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '14835', 'high': '16840', 'currency': 'PLN'}"
Data Science Engineer,Connectis_,"Data, python, machine learning, aws",data engineer,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '16000', 'high': '20000', 'currency': 'PLN'}"
Senior Data Engineer,AVENGA,"Data, python, sql, aws",data engineer,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '25200', 'high': '28560', 'currency': 'PLN'}"
Data Engineer - remote,Directio Sp. z o.o.,"Data, python, hadoop, flink",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '21000', 'high': '28500', 'currency': 'PLN'}"
Senior Data and AI Engineer,GetInData | Part of Xebia,"AI, python, databricks, airflow",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '25200', 'high': '33600', 'currency': 'PLN'}"
Data Engineer,Unit8 SA,"Data, sql, data engineering, team player",data engineer,"{'city': 'Krak贸w', 'country': 'N/A', 'remotely': False}","{'low': '20000', 'high': '26000', 'currency': 'PLN'}"
Data Engineer,Unit8 SA,"Data, sql, data engineering, team player",data engineer,"{'city': 'Wrocaw', 'country': 'N/A', 'remotely': False}","{'low': '20000', 'high': '26000', 'currency': 'PLN'}"
Data Engineer,ComScore,"Data, spark, java, linux",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '20000', 'high': '25000', 'currency': 'PLN'}"
Senior Big Data Engineer (Scala/Python) - Data&AI,Allegro,"Data, scala, python, java",data engineer,"{'city': 'Warszawa   \xa0+1', 'country': 'N/A', 'remotely': False}","{'low': '16100', 'high': '23200', 'currency': 'PLN'}"
Senior Data Engineer - Machine Learning Research,Allegro,"Data, degree, python, git",data engineer,"{'city': 'Warszawa   \xa0+1', 'country': 'N/A', 'remotely': False}","{'low': '16100', 'high': '23200', 'currency': 'PLN'}"
Senior Data Engineer - FP&A,Allegro,"Data, sql, python, gcp",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '16100', 'high': '23200', 'currency': 'PLN'}"
Senior Data Engineer (AWS),GetInData | Part of Xebia,"Data, aws, python, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '26880', 'high': '33600', 'currency': 'PLN'}"
Senior Data Engineer (GCP),GetInData | Part of Xebia,"Data, gcp, python, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '26880', 'high': '33600', 'currency': 'PLN'}"
Senior Data Engineer (Azure),GetInData | Part of Xebia,"Data, microsoft azure, python, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '26880', 'high': '33600', 'currency': 'PLN'}"
Data Engineer,Knowit,"Data, sql, data warehouse, power bi",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '16800', 'high': '23520', 'currency': 'PLN'}"
Data Engineer,Proxet,"Data, data engineering, data warehouse, etl",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '20048', 'high': '34081', 'currency': 'PLN'}"
"Azure Data Engineer (Remote, full / part-time)",10 Senses,"Data, sql, azure synapse, azure synapse analytics",data engineer,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '25200', 'high': '31920', 'currency': 'PLN'}"
Data Engineer,Harvey Nash Technology,"Data, spark, snowflake, mysql",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '22000', 'high': '26000', 'currency': 'PLN'}"
Data Engineer,Photon Energy Group,"Data, python, kafka, data pipelines",data engineer,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '16000', 'high': '24000', 'currency': 'PLN'}"
Big Data Engineer,Devire Sp. z o.o.,"Data, spark, degree, big data",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '23520', 'high': '33600', 'currency': 'PLN'}"
Data Engineer,Connectis_,"Data, azure, azure data lake, azure databricks",data engineer,"{'city': 'Zdalnie   \xa0+3', 'country': 'N/A', 'remotely': True}","{'low': '26000', 'high': '31000', 'currency': 'PLN'}"
Junior Data Engineer Python,NIX Tech Kft.,"Data, python, data engineer, sql",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '8885', 'high': '12217', 'currency': 'PLN'}"
Junior Data Engineer Scala,NIX Tech Kft.,"Data, scala, sql, postgresql",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '8885', 'high': '12217', 'currency': 'PLN'}"
Data Engineer,ALLSTARSIT,"Data, python, pyspark, sql",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '28067', 'high': '30072', 'currency': 'PLN'}"
Data Ops Engineer,Roche,"Data, python, aws cloud, aws lambda",data engineer,"{'city': 'Warszawa   \xa0+1', 'country': 'N/A', 'remotely': False}","{'low': '12500', 'high': '18000', 'currency': 'PLN'}"
Data Engineer in Microsoft Azure Cloud,Avanade Poland,"Data, python, azure, sql",data engineer,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '19320', 'high': '29400', 'currency': 'PLN'}"
Data Engineer (2-3yrs),Avenga,"Data, java, spark, apache spark",data engineer,"{'city': 'Gdask', 'country': 'N/A', 'remotely': False}","{'low': '15120', 'high': '21000', 'currency': 'PLN'}"
Financial Data Engineer,SoftKraft Sp z o.o.,"Data, python, sql, git",data engineer,"{'city': 'Zdalnie   \xa0+7', 'country': 'N/A', 'remotely': True}","{'low': '15960', 'high': '25870', 'currency': 'PLN'}"
Data Engineer,SEB (Skandinaviska Enskilda Banken),"Data, spark, ci/cd, container",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '28000', 'high': '33000', 'currency': 'PLN'}"
Data Engineer,WealthArc,"Business Intelligence, etl, sql, team player",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '10000', 'high': '13000', 'currency': 'PLN'}"
Data Infrastructure / Platform Engineer,Instructure Hungary Kft,"Data, aws, data infrastructure, infrastructure as a code",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '15549', 'high': '24435', 'currency': 'PLN'}"
Medior/Senior Business Data Analyst / BI engineer,NIX Tech Kft.,"Business Analysis, hungarian language, dwh, sql",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '8885', 'high': '12217', 'currency': 'PLN'}"
Medior/Senior Data Engineer Python,NIX Tech Kft.,"Data, python, sql, data engineering",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '11107', 'high': '21103', 'currency': 'PLN'}"
Data Engineer (Support team),Centrum Informatyki Statystycznej,"Data, spark, sql, python",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '8000', 'high': '14000', 'currency': 'PLN'}"
Data Architect,STX Next,"Data, data modelling, iot, etl",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
Data Analysis Expert,HRK S.A.,"Data, bi, data analysis, crm",data engineer,"{'city': 'Tychy', 'country': 'N/A', 'remotely': False}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
Product Manager - Data Center & Cloud,T-Mobile Polska,"Product Management, cloud computing, ca, angielski",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
Senior BI Developer - Data Enablement Tribe,T-Mobile Polska,"Business Intelligence, ci, oracle, sql",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
Data Architect,Objectivity - part of Accenture,"AI, azure, azure data solutions, azure services",data engineer,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '28560', 'high': '36960', 'currency': 'PLN'}"
Data Science Consultant (Nvidia Expert),SoftServe,"Data, degree, can, python",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '28000', 'high': '35000', 'currency': 'PLN'}"
In偶ynier Danych,Centralny Orodek Informatyki,"Data, sql, nosql, data warehouse",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '14000', 'high': '28000', 'currency': 'PLN'}"
Big Data Developer (Snowflake),Britenet,"Data, snowflake, python, azure iot",data engineer,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
"Programista ETL, Informatica Power Center, PL/SQL",Avenga,"Data, sql, pl/sql, etl",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '18480', 'high': '23520', 'currency': 'PLN'}"
Cloud Data Architect,Transition Technologies PSC S.A.,"Architecture, aws, ci, cd",data engineer,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '33000', 'high': '42000', 'currency': 'PLN'}"
Data Architect / Database Administrator,Fizet茅si Pont Kft.,"Data, data warehouse, azure, azure data",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '16660', 'high': '19992', 'currency': 'PLN'}"
Big Data Developer,emagine Sp. Z o.o.,"Data, python, big data, hadoop",data engineer,"{'city': 'Warsaw   \xa0+1', 'country': 'N/A', 'remotely': False}","{'low': '18480', 'high': '23520', 'currency': 'PLN'}"
Data Streming DevOps Expert,SquareOne,"DevOps, linux, kafka, etl",data engineer,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '25200', 'high': '28560', 'currency': 'PLN'}"
Data Platform Architect,Elitmind,"Data, databricks, azure, data factory",data engineer,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '26880', 'high': '33936', 'currency': 'PLN'}"
Senior Hadoop / Big Data Developer,Nordea Bank ABP,"Data, hadoop, java, scala",data engineer,"{'city': 'Warszawa   \xa0+3', 'country': 'N/A', 'remotely': False}","{'low': '18850', 'high': '22700', 'currency': 'PLN'}"
Programista DWH,apreel Sp. z o.o.,"Data, pl/sql, python, etl",data engineer,"{'city': 'Zdalnie   \xa0+3', 'country': 'N/A', 'remotely': True}","{'low': '23520', 'high': '30240', 'currency': 'PLN'}"
ETL Developer,AVENGA,"Data, oracle, linux, ibm db2",data engineer,"{'city': 'Gdask   \xa0+2', 'country': 'N/A', 'remotely': False}","{'low': '21000', 'high': '24360', 'currency': 'PLN'}"
IT Data Architect for Healthineers Data Cloud,Siemens Healthineers,"Data, data management, snowflake, oracle",data engineer,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '16000', 'high': '22000', 'currency': 'PLN'}"
Big Data Architect,Addepto,"Data, python, hadoop, spark",data engineer,"{'city': 'Zdalnie   \xa0+4', 'country': 'N/A', 'remotely': True}","{'low': '25000', 'high': '37800', 'currency': 'PLN'}"
Data Developer Analytics,bonprix.,"Business Intelligence, bi, qlik, sql",data engineer,"{'city': '贸d藕', 'country': 'N/A', 'remotely': False}","{'low': '15200', 'high': '19800', 'currency': 'PLN'}"
Data Architect,Connectis_,"Data, python, data engineering, angielski",data engineer,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '21000', 'high': '27000', 'currency': 'PLN'}"
Lead Data Scientist Engineer (1/517),Infolet,"Data, sql, degree, python",data scientist,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '22680', 'high': '27720', 'currency': 'PLN'}"
Senior Data Scientist,MindMics.com,"Data, python, critical thinking, problem solving",data scientist,"{'city': 'Krak贸w', 'country': 'N/A', 'remotely': False}","{'low': '18000', 'high': '28000', 'currency': 'PLN'}"
Junior Data Scientist,datanalytics DA GmbH,"AI, python, git, machine learning",data scientist,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '29008', 'high': '39886', 'currency': 'PLN'}"
Data Scientist,Sii Polska,"Data, python, pyspark, pytest",data scientist,"{'city': 'Zdalnie   \xa0+17', 'country': 'N/A', 'remotely': True}","{'low': '24000', 'high': '30000', 'currency': 'PLN'}"
Data Scientist,Devire,"AI, python, sql, t-sql",data scientist,"{'city': 'Gdynia   \xa0+2', 'country': 'N/A', 'remotely': False}","{'low': '16800', 'high': '21840', 'currency': 'PLN'}"
Remote Senior Data Scientist,Link Group,"Data, sql, python, r",data scientist,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '23520', 'high': '28560', 'currency': 'PLN'}"
Senior Data Scientist,Sigma IT Poland,"Data, python, data science, machine learning",data scientist,"{'city': 'Zdalnie   \xa0+3', 'country': 'N/A', 'remotely': True}","{'low': '17600', 'high': '22400', 'currency': 'PLN'}"
Data Scientist (Risk) (mid/senior),Revolut Ltd,"Data, python, sql, data science",data scientist,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
Data Scientist ( Mid / Senior ),Addepto,"AI, python, deep learning, machine learning",data scientist,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '13000', 'high': '26000', 'currency': 'PLN'}"
Data Scientist (Credit) (mid/senior),Revolut Ltd,"Data, python, sql, polski",data scientist,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': 'N/A', 'high': 'N/A', 'currency': 'N/A'}"
Principal Data Scientist Engineer,Avenga,"Data, c++, java, communication skills",data scientist,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '30240', 'high': '33600', 'currency': 'PLN'}"
Senior Data Scientist (BioPharma),Sigma IT Poland,"Data, python, machine learning, natural language processing",data scientist,"{'city': 'Zdalnie   \xa0+3', 'country': 'N/A', 'remotely': True}","{'low': '18480', 'high': '22680', 'currency': 'PLN'}"
Junior Data Scientist,NIX Tech Kft.,"Data, data science, machine learning, sql",data scientist,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '8885', 'high': '12217', 'currency': 'PLN'}"
Medior Data Scientist,NIX Tech Kft.,"Data, data science, machine learning, sql",data scientist,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '12217', 'high': '17771', 'currency': 'PLN'}"
Data Scientist,Objectivity - part of Accenture,"AI, python, machine learning, sql",data scientist,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '16800', 'high': '25200', 'currency': 'PLN'}"
Senior Data Scientist REMOTE ,Sigmoidal LLC,"AI, python, aws, scikit-learn",data scientist,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '27265', 'high': '33881', 'currency': 'PLN'}"
Data Scientist,Numlabs,"AI, python, aws, tensorflow",data scientist,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '9000', 'high': '14000', 'currency': 'PLN'}"
Senior Data Scientist,SKY ENGINE AI,"AI, computer vision, segmentation, machine learning",data scientist,"{'city': 'Warsaw', 'country': 'N/A', 'remotely': False}","{'low': '20000', 'high': '28000', 'currency': 'PLN'}"
Data Scientist,STS S.A.,"AI, python, git, apache kafka",data scientist,"{'city': 'Katowice', 'country': 'N/A', 'remotely': False}","{'low': '12000', 'high': '18500', 'currency': 'PLN'}"
Senior/ Tech Lead Data Scientist,AVENGA,"Data, python, degree, analytical skills",data scientist,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '26880', 'high': '30240', 'currency': 'PLN'}"
Data Scientist - Security Team,Snowflake,"AI, sql, machine learning, python",data scientist,"{'city': 'Warsaw', 'country': 'N/A', 'remotely': False}","{'low': '30000', 'high': '60000', 'currency': 'PLN'}"
Data Scientist,SquareOne,"Data, snowflake, sql, git",data scientist,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '23520', 'high': '30240', 'currency': 'PLN'}"
Senior Data Scientist,Objectivity - part of Accenture,"AI, python, machine learning, sql",data scientist,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '25200', 'high': '33600', 'currency': 'PLN'}"
Lead Data Scientist,Addepto,"AI, python, deep learning, machine learning",data scientist,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '19000', 'high': '34000', 'currency': 'PLN'}"
Senior Data Scientist,in4ge sp. z o.o.,"AI, data science, deep learning, python",data scientist,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '20000', 'high': '28000', 'currency': 'PLN'}"
Senior Data Scientist,Spyrosoft,"AI, python, scala, angielski",data scientist,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '25200', 'high': '33600', 'currency': 'PLN'}"
Senior Data Scientist,Spyrosoft,"AI, python, scala, angielski",data scientist,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '25200', 'high': '33600', 'currency': 'PLN'}"
Senior Data Scientist,Reply Polska,"AI, python, machine learning, aws",data scientist,"{'city': 'Katowice', 'country': 'N/A', 'remotely': False}","{'low': '16000', 'high': '22000', 'currency': 'PLN'}"
Data Scientist with some C# Experience,able.tech,"Data, sql, data science, data warehouse",data scientist,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '20000', 'high': '30000', 'currency': 'PLN'}"
Data Science Consultant (Nvidia Expert),SoftServe,"Data, degree, can, python",data scientist,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '28000', 'high': '35000', 'currency': 'PLN'}"
Data Science Engineer,Infogain Technologies Sp. z o.o.,"Data, python, r, sql",data scientist,"{'city': 'Krak贸w', 'country': 'N/A', 'remotely': False}","{'low': '23520', 'high': '26880', 'currency': 'PLN'}"
Director of Data Science,Ardigen S.A.,"AI, python, data science, lead",data scientist,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '18000', 'high': '23000', 'currency': 'PLN'}"
Data Science Manager,Addepto,"AI, python, deep learning, sql",data scientist,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '18000', 'high': '30000', 'currency': 'PLN'}"
Data Science Engineer,Connectis_,"Data, python, machine learning, aws",data scientist,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '16000', 'high': '20000', 'currency': 'PLN'}"
